"TOA5","082_im_hinteren_eis","CR3000","11527","CR3000.Std.29","CPU:20170824_HinteresEis_Ver1.CR3","6258","LowFreq"
"TIMESTAMP","RECORD","TAact_1m_Avg","TAact_2m_Avg","RHact_1m_Avg","RHact_2m_Avg","Pact","panel_temp_Avg","batt_volt_Avg","sw_in_raw_Avg","sw_out_raw_Avg","lw_in_raw_Avg","lw_out_raw_Avg","cnr4_T_C_Avg","Snow_Depth","Raw_Dist","SignalQuality","cnr4_vent_Tot"
"TS","RN","C","C","%","%","mbar","deg_C","V","mV","mV","mV","mV","deg_C","","","",""
"","","Avg","Avg","Avg","Avg","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Tot"
"2018-06-22 09:19:00",418562,-1.727955,-1.197949,60.9924,56.24028,685.6951,1.06245,11.63762,12.0046,2.591842,-1.248843,0.05308699,-0.2504084,0.389511,1.114,182,0
"2018-06-22 09:20:00",418563,-1.674839,-1.140519,61.16932,56.28378,685.9589,1.196086,11.63835,12.01472,2.592988,-1.247188,0.05032065,-0.2013045,0.3893692,1.114,187,0
"2018-06-22 09:21:00",418564,-1.675476,-1.140829,61.70962,57.45501,685.8749,1.33546,11.63884,12.03303,2.593874,-1.255996,0.03905606,-0.1909906,0.3903389,1.113,177,0
"2018-06-22 09:22:00",418565,-1.683585,-1.142802,60.87131,56.82134,685.5111,1.479074,11.63823,12.01125,2.605188,-1.262558,0.04240821,-0.2014776,0.3903688,1.113,178,0
"2018-06-22 09:23:00",418566,-1.636752,-1.086689,61.35557,56.10035,685.5429,1.627109,11.63816,10.20648,2.618763,-1.254084,0.05204604,-0.1754376,0.3901657,1.113,177,0
"2018-06-22 09:24:00",418567,-1.578265,-1.063046,59.50323,54.38074,685.8891,1.778331,11.63904,7.29194,2.631587,-1.251604,0.05953794,-0.1298923,0.3892636,1.114,177,0
"2018-06-22 09:25:00",418568,-1.64951,-1.096959,58.64486,55.29752,686.1857,1.933217,11.63903,7.405224,2.632035,-1.251033,0.05740835,-0.1088157,0.3894402,1.114,173,0
"2018-06-22 09:26:00",418569,-1.716504,-1.159307,60.76635,57.14855,686.1178,2.09144,11.64009,10.75893,2.631982,-1.25405,0.07197317,-0.07292204,0.3895082,1.114,174,0
"2018-06-22 09:27:00",418570,-1.749982,-1.197602,60.02302,56.4605,685.7535,2.251816,11.63999,12.12411,2.629447,-1.25652,0.06761469,-0.03764101,0.3905392,1.113,180,0
"2018-06-22 09:28:00",418571,-1.657638,-1.109418,58.4949,54.32203,686.1162,2.414623,11.64046,12.19157,2.628447,-1.258099,0.05159044,-0.06169821,0.3882365,1.115,178,0
"2018-06-22 09:29:00",418572,-1.624628,-1.062312,57.70335,54.09716,686.3784,2.578613,11.64129,12.21287,2.633595,-1.254816,0.05976909,-0.04162527,0.3893691,1.114,178,0
"2018-06-22 09:30:00",418573,-1.738918,-1.172622,57.21964,54.5574,686.5753,2.744528,11.64093,12.20858,2.629109,-1.249758,0.08175843,0.01689492,0.3896405,1.114,179,0
"2018-06-22 09:31:00",418574,-1.745789,-1.235412,59.51946,55.96425,686.5746,2.913202,11.64141,12.2182,2.627596,-1.251491,0.1032112,0.1201245,0.3904073,1.113,182,0
"2018-06-22 09:32:00",418575,-1.745301,-1.283542,58.04316,55.29865,686.7213,3.084244,11.64211,12.23785,2.62416,-1.25595,0.09933829,0.1919291,0.3887197,1.115,189,0
"2018-06-22 09:33:00",418576,-1.795932,-1.365038,58.82277,55.98803,686.423,3.25676,11.64321,12.25682,2.620161,-1.264644,0.130108,0.3146943,0.3894997,1.114,186,0
"2018-06-22 09:34:00",418577,-1.735393,-1.302347,59.1393,55.72205,686.4554,3.430637,11.64354,12.29286,2.623642,-1.262782,0.1096593,0.3959129,0.388551,1.115,174,0
"2018-06-22 09:35:00",418578,-1.743657,-1.281426,59.47915,56.12408,686.1066,3.605789,11.6438,12.29571,2.59486,-1.263651,0.103775,0.4323595,0.3905067,1.113,182,0
"2018-06-22 09:36:00",418579,-1.678727,-1.219315,60.51006,56.25341,686.0558,3.780962,11.6431,12.32928,2.622617,-1.27096,0.0966678,0.4104068,0.3892928,1.114,181,0
"2018-06-22 09:37:00",418580,-1.591858,-1.130455,59.54692,54.9737,686.1028,3.954051,11.64323,12.37255,2.637877,-1.285136,0.09103526,0.3526729,0.3901883,1.113,173,0
"2018-06-22 09:38:00",418581,-1.635711,-1.159708,58.74614,55.5817,685.9206,4.125609,11.64364,12.36891,2.639597,-1.295859,0.1046588,0.3274546,0.3893335,1.114,178,0
"2018-06-22 09:39:00",418582,-1.583779,-1.099149,59.55879,55.94222,685.7873,4.295424,11.64444,12.43801,2.668592,-1.263131,0.07219619,0.3253582,0.3890083,1.114,185,0
"2018-06-22 09:40:00",418583,-1.479458,-0.9530327,56.66889,53.87051,686.3141,4.462546,11.64441,12.50875,2.693393,-1.254048,0.07201081,0.328523,0.3881874,1.115,173,0
"2018-06-22 09:41:00",418584,-1.628802,-1.049816,58.75848,55.86637,686.1146,4.628272,11.64535,12.54933,2.702555,-1.248868,0.09022592,0.3549307,0.389326,1.114,181,0
"2018-06-22 09:42:00",418585,-1.632114,-1.072032,60.65069,57.32089,684.9409,4.792006,11.64545,12.63488,2.727379,-1.238214,0.0950513,0.3612201,0.3892101,1.114,179,0
