TIMESTAMP	Pit01	Pit02
2019-02-15 14:00:00	2.25	-9999
2019-02-16 14:00:00	-9999	2.70
2019-03-23 15:00:00	2.55	-9999
2019-03-24 11:00:00	-9999	3.16
2019-03-30 15:00:00	-9999	2.79
2019-03-31 09:00:00	2.30	-9999
2019-04-15 14:00:00	3.32	-9999
2019-04-16 11:00:00	-9999	3.77
2019-05-01 14:00:00	2.85	-9999
2019-05-01 19:00:00	-9999	3.45
2019-07-04 14:00:00	0.12	-9999
2019-07-04 12:00:00	-9999	1.55
